id,batch_number,order_id,start_time,end_time,status,actual_quantity_kg
1,B-2401-01,1,2025-03-01 08:00:00,2025-03-01 14:30:00,completed,998
2,B-2401-02,1,2025-03-02 08:15:00,2025-03-02 15:00:00,completed,1002
3,B-2402-01,2,2025-03-03 09:00:00,,running,250
4,B-2404-01,4,2025-03-04 10:00:00,,running,400
5,B-2405-01,5,2025-03-01 12:00:00,2025-03-01 16:45:00,completed,298
6,B-2406-01,6,2025-03-12 07:30:00,,planned,0
7,B-2408-01,8,2025-03-02 06:00:00,2025-03-02 13:20:00,completed,1195
8,B-2409-01,9,2025-03-05 08:00:00,,running,225
9,B-2412-01,12,2025-03-03 05:45:00,2025-03-03 16:10:00,completed,1795
10,B-2413-01,13,2025-03-06 09:30:00,,running,475
11,B-2415-01,15,2025-03-04 07:00:00,2025-03-04 18:30:00,completed,2098
12,B-2417-01,17,2025-03-07 08:20:00,,running,445
13,B-2420-01,20,2025-03-05 10:15:00,2025-03-05 17:45:00,completed,668
14,B-2403-01,3,2025-03-10 06:00:00,,planned,0
15,B-2410-01,10,2025-03-18 07:00:00,,planned,0
16,B-2414-01,14,2025-03-22 08:00:00,,planned,0
17,B-2418-01,18,2025-03-25 09:00:00,,planned,0
18,B-2402-02,2,2025-03-08 09:00:00,,running,248
19,B-2404-02,4,2025-03-09 08:00:00,,planned,0
20,B-2409-02,9,2025-03-10 06:30:00,,planned,0
