id,batch_id,step_order,step_name,planned_temp_c,actual_temp_c,planned_duration_min,actual_duration_min,planned_pressure_bar,actual_pressure_bar,deviation_flag,operator_comment
1,1,1,Смешивание,45,44.8,30,32,1.5,1.5,0,OK
2,1,2,Выдержка,60,59.5,120,118,2.0,1.9,0,Незначительное отклонение
3,1,3,Экструзия,80,78.2,45,47,3.0,2.8,1,Температура ниже нормы
4,1,4,Охлаждение,25,24.5,60,58,1.0,1.0,0,OK
5,2,1,Смешивание,45,46.1,30,30,1.5,1.6,1,Температура выше нормы
6,2,2,Выдержка,60,58.9,120,125,2.0,1.8,1,Отклонение по времени
7,2,3,Экструзия,80,79.5,45,46,3.0,2.9,1,OK
8,2,4,Охлаждение,25,24.8,60,61,1.0,1.0,0,OK
9,3,1,Смешивание,50,49.8,25,25,1.5,1.5,0,OK
10,3,2,Экструзия,85,84.0,40,40,3.5,3.4,0,OK
11,4,1,Смешивание,45,44.5,30,33,1.5,1.4,1,Задержка загрузки
12,4,2,Выдержка,60,59.8,120,118,2.0,2.0,0,OK
13,5,1,Смешивание,50,49.9,30,31,1.5,1.5,1,Незначительное
14,5,2,Выдержка,65,64.5,110,112,2.0,1.9,1,Отклонение
15,5,3,Охлаждение,25,24.9,45,44,1.0,1.0,0,OK
16,7,1,Смешивание,48,48.0,35,34,1.5,1.5,0,OK
17,7,2,Выдержка,62,61.5,115,117,2.0,1.9,1,OK
18,8,1,Смешивание,47,46.8,28,30,1.5,1.4,1,OK
19,9,1,Смешивание,52,51.5,30,32,1.5,1.5,1,OK
20,9,2,Экструзия,88,87.0,42,43,3.5,3.3,1,OK
